English,中文翻译,color,shape
Beijing Guoan,北京国安,#007800,circle
Changchun Yatai,长春亚泰,#000000,
Chengdu Rongcheng,成都蓉城,#a00000,
Dalian Young Boy,大连英博,#32b4ff,
Henan,河南,#a00000,triangle
Liaoning Tieren,辽宁铁人,#ff6464,
Meizhou Hakka,梅州客家,#000000,
Qingdao Hainiu,青岛海牛,#ff7800,
Qingdao West Coast,青岛西海岸,#ffff00,
Shandong Taishan,山东泰山,#ff7800,square
Shanghai Port,上海海港,#ff0000,
Shanghai Shenhua,上海申花,#0006ff,
Shenzhen Peng City,深圳新鹏城,#32b4ff,square
Tianjin Tigers,天津津门虎,#9600ff,
Wuhan Three Towns,武汉三镇,#00007d,
Yunnan Yukun,云南玉昆,#ff7800,diamond
Zhejiang Professional,浙江,#007800,triangle
Chongqing Tongliang Long,重庆铜梁龙,#ff0000,triangle
