English,中文翻译,group
"Player","球员","基本"
"Team","球队","基本"
"Team within selected timeframe","所选时间范围内球队","基本"
"Position","位置","基本"
"Age","年龄","基本"
"Market value","市场身价","基本"
"Contract expires","合同到期时间","基本"
"Matches played","出场场次","基本"
"Minutes played","出场分钟","基本"
"Goals","进球","进攻"
"xG","预期进球（xG）","进攻"
"Assists","助攻","机会"
"xA","预期助攻（xA）","机会"
"Duels per 90","每90分钟对抗次数","对抗"
"Duels won, %","对抗成功率（%）","对抗"
"Birth country","出生国家","基本"
"Passport country","国籍（护照国家）","基本"
"Foot","惯用脚","基本"
"Height","身高","基本"
"Weight","体重","基本"
"On loan","是否租借","基本"
"Successful defensive actions per 90","每90分钟成功防守动作","防守"
"Defensive duels per 90","每90分钟防守对抗","防守"
"Defensive duels won, %","防守对抗成功率（%）","对抗"
"Aerial duels per 90","每90分钟空中对抗","对抗"
"Aerial duels won, %","空中对抗成功率（%）","对抗"
"Sliding tackles per 90","每90分钟滑铲","防守"
"PAdj Sliding tackles","PAdj 滑铲","防守"
"Shots blocked per 90","每90分钟封堵射门","防守"
"Interceptions per 90","每90分钟拦截","防守"
"PAdj Interceptions","PAdj 拦截","防守"
"Fouls per 90","每90分钟犯规","纪律"
"Yellow cards","黄牌","纪律"
"Yellow cards per 90","每90分钟黄牌","纪律"
"Red cards","红牌","纪律"
"Red cards per 90","每90分钟红牌","纪律"
"Successful attacking actions per 90","每90分钟成功进攻动作","进攻"
"Goals per 90","每90分钟进球","进攻"
"Non-penalty goals","非点球进球","进攻"
"Non-penalty goals per 90","每90分钟非点球进球","进攻"
"xG per 90","每90分钟预期进球（xG）","进攻"
"Head goals","头球进球","进攻"
"Head goals per 90","每90分钟头球进球","进攻"
"Shots","射门","进攻"
"Shots per 90","每90分钟射门","进攻"
"Shots on target, %","射正率（%）","进攻"
"Goal conversion, %","进球转化率（%）","进攻"
"Assists per 90","每90分钟助攻","进攻"
"Crosses per 90","每90分钟传中","传球"
"Accurate crosses, %","传中成功率（%）","传球"
"Crosses from left flank per 90","每90分钟左路传中","传球"
"Accurate crosses from left flank, %","左路传中成功率（%）","传球"
"Crosses from right flank per 90","每90分钟右路传中","传球"
"Accurate crosses from right flank, %","右路传中成功率（%）","传球"
"Crosses to goalie box per 90","每90分钟传入小禁区传中","进攻"
"Dribbles per 90","每90分钟盘带","推进"
"Successful dribbles, %","盘带成功率（%）","推进"
"Offensive duels per 90","每90分钟进攻对抗","对抗"
"Offensive duels won, %","进攻对抗成功率（%）","对抗"
"Touches in box per 90","每90分钟禁区触球","进攻"
"Progressive runs per 90","每90分钟推进跑动","推进"
"Accelerations per 90","每90分钟加速次数","推进"
"Received passes per 90","每90分钟接球","传球"
"Received long passes per 90","每90分钟接长传","传球"
"Fouls suffered per 90","每90分钟被犯规","传球"
"Passes per 90","每90分钟传球","传球"
"Accurate passes, %","传球成功率（%）","传球"
"Forward passes per 90","每90分钟向前传球","传球"
"Accurate forward passes, %","向前传球成功率（%）","传球"
"Back passes per 90","每90分钟回传","传球"
"Accurate back passes, %","回传成功率（%）","传球"
"Lateral passes per 90","每90分钟横传","传球"
"Accurate lateral passes, %","横传成功率（%）","传球"
"Short / medium passes per 90","每90分钟短/中距离传球","传球"
"Accurate short / medium passes, %","短/中距离传球成功率（%）","传球"
"Long passes per 90","每90分钟长传","传球"
"Accurate long passes, %","长传成功率（%）","传球"
"Average pass length, m","平均传球长度（米）","传球"
"Average long pass length, m","平均长传长度（米）","传球"
"xA per 90","每90分钟预期助攻（xA）","传球"
"Shot assists per 90","每90分钟助攻射门传球","进攻"
"Second assists per 90","每90分钟第二助攻","传球"
"Third assists per 90","每90分钟第三助攻","传球"
"Smart passes per 90","每90分钟穿透性传球","机会"
"Accurate smart passes, %","穿透性传球成功率（%）","机会"
"Key passes per 90","每90分钟关键传球","机会"
"Passes to final third per 90","每90分钟传入前场三区","传球"
"Accurate passes to final third, %","传入前场三区成功率（%）","传球"
"Passes to penalty area per 90","每90分钟传入禁区","机会"
"Accurate passes to penalty area, %","传入禁区成功率（%）","机会"
"Through passes per 90","每90分钟直塞","机会"
"Accurate through passes, %","直塞成功率（%）","机会"
"Deep completions per 90","每90分钟深度传球成功","机会"
"Deep completed crosses per 90","每90分钟深度传中成功","机会"
"Progressive passes per 90","每90分钟推进传球","推进"
"Accurate progressive passes, %","推进传球成功率（%）","推进"
"Conceded goals","失球","门将"
"Conceded goals per 90","每90分钟失球","门将"
"Shots against","被射门","门将"
"Shots against per 90","每90分钟被射门","门将"
"Clean sheets","零封场次","门将"
"Save rate, %","扑救成功率（%）","门将"
"xG against","预期失球（xGA）","门将"
"xG against per 90","每90分钟预期失球（xGA）","门将"
"Prevented goals","预防失球","门将"
"Prevented goals per 90","每90分钟预防失球","门将"
"Back passes received as GK per 90","每90分钟门将接回传","门将"
"Exits per 90","每90分钟出击","门将"
"Aerial duels per 90","每90分钟空中对抗","对抗"
"Free kicks per 90","每90分钟任意球","定位球"
"Direct free kicks per 90","每90分钟直接任意球","定位球"
"Direct free kicks on target, %","直接任意球射正率（%）","定位球"
"Corners per 90","每90分钟角球","定位球"
"Penalties taken","主罚点球","定位球"
"Penalty conversion, %","点球转化率（%）","定位球"
